NGA,PolID,year,Pop,Terr,Cap,Hier,Gov,Infra,Info,Money,uniq,Dupl,SPC1,eim_slug,years_to_collapse,collapse_next_100y,collapse_next_50y,collapse_next_150y
Latium,ItRomER,-500,5.0,3.113943352,4.477121255,3.666666667,0.318181818,0.666666667,0.892307692,0.833333333,y,n,1.6375962793479923,roman_republic,473.0,0,0,0
Latium,ItRomER,-400,5.176091259,3.113943352,4.477121255,3.666666667,0.363636364,0.666666667,0.892307692,0.833333333,y,n,1.7300249984244958,roman_republic,373.0,0,0,0
Latium,ItRomER,-300,5.875061263,4.243038049,4.740362689,4.666666667,0.363636364,0.666666667,0.892307692,0.833333333,y,n,2.4322993728545645,roman_republic,273.0,0,0,0
Latium,ItRomWe,400,7.319201022,6.301029996,5.698970004,7.5,0.863636364,0.990909091,0.923076923,0.833333333,y,n,4.953747186472468,western_roman_empire,76.0,1,0,1
Upper Egypt,EgDyn1*,-3100,6.0,4.903089987,4.113943352,4.0,0.154545455,0.727272727,0.638461538,0.45,y,n,1.4283817293434629,egyptian_dynasties_i_and_ii,413.0,0,0,0
Upper Egypt,EgDyn1*,-3000,6.0,4.903089987,4.113943352,4.0,0.154545455,0.727272727,0.638461538,0.45,n,n,1.4283817293434629,egyptian_dynasties_i_and_ii,313.0,0,0,0
Upper Egypt,EgOldK1,-2600,6.096910013,5.327358934,4.602059991,5.5,0.63,0.7,0.853846154,0.45,y,n,2.6950308301621653,old_egytpian_kingdom,445.0,0,0,0
Upper Egypt,EgOldK1,-2500,6.096910013,5.327358934,4.602059991,5.5,0.63,0.7,0.853846154,0.45,n,n,2.6950308301621653,old_egytpian_kingdom,345.0,0,0,0
Upper Egypt,EgOldK1,-2400,6.096910013,5.327358934,4.602059991,5.5,0.63,0.7,0.853846154,0.45,n,n,2.6950308301621653,old_egytpian_kingdom,245.0,0,0,0
Upper Egypt,EgMidKg,-2000,6.301029996,5.376576957,4.477121255,5.166666667,0.6,0.741666667,0.846153846,0.45,y,n,2.6523640378626205,middle_egyptian_kingdom,325.0,0,0,0
Upper Egypt,EgMidKg,-1900,6.301029996,5.615950052,4.477121255,5.166666667,0.6,0.741666667,0.846153846,0.45,y,n,2.709581614288017,middle_egyptian_kingdom,225.0,0,0,0
Upper Egypt,EgMidKg,-1800,6.301029996,5.653212514,4.477121255,5.166666667,0.6,0.741666667,0.846153846,0.45,y,n,2.718488495687045,middle_egyptian_kingdom,125.0,0,0,1
Upper Egypt,EgNKThu,-1500,6.593839661,5.812913357,4.812913357,5.833333333,0.69,0.75,0.915384615,0.45,y,n,3.231514705227949,new_egyptian_kingdom,430.5,0,0,0
Upper Egypt,EgNKThu,-1400,6.593839661,5.954242509,4.812913357,5.833333333,0.69,0.75,0.915384615,0.45,y,n,3.265296745585061,new_egyptian_kingdom,330.5,0,0,0
Upper Egypt,EgNKThu,-1300,6.593839661,6.0,4.812913357,5.833333333,0.69,0.75,0.915384615,0.45,y,n,3.276234201769627,new_egyptian_kingdom,230.5,0,0,0
Upper Egypt,EgSaite,-600,6.33243846,5.544068044,4.698970004,5.5,0.654545455,0.977777778,0.884615385,0.5,y,n,3.195144513439436,saite_period_egypt,75.0,1,0,1
